ItemCode,ItemName,ForeignName,ItemsGroupCode,ItemType,PurchaseItem,SalesItem,InventoryItem,Manufacturer,ShipType,ManageSerialNumbers,ManageBatchNumbers,IsPhantom,ItemClass,MaterialType,NCMCode,ProductSource,PurchaseUnit,PurchaseItemsPerUnit,SalesUnit,SalesItemsPerUnit,InventoryUOM,MinInventory,MaxInventory,PlanningSystem,ProcurementMethod,OrderMultiple,MinOrderQuantity,LeadTime,User_Text,U_SKILL_CEST,U_SKILL_LisSer,U_SKILL_SerMun,
I545    ,LU F0024 FCI One - On Demand                                                              ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I546    ,LU F0024 ECF - On Demand                                                                  ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I547    ,LU F0024 Importador XML - On Demand                                                       ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I548    ,LU F0146 NF-e - On Demand                                                                 ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I549    ,LU F0146 NFS-e - On Demand                                                                ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I550    ,LU F0146 NFC-e - On Demand                                                                ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I551    ,LU F0146 Importador XML - On Demand                                                       ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I552    ,LU F0146 Tax One - On Demand                                                              ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I553    ,LU F0146 Sales One - On Demand                                                            ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I554    ,LU F0146 Combo Invocie One 1 - (NF-e + Tax One) - On Demand                               ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I555    ,LU F316 SFA + NF-e - On Demand                                                            ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I556    ,LU F316 NF-e - On Demand                                                                  ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I557    ,LU F316 NFS-e - On Demand                                                                 ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I558    ,LU F316 Cte On Demand                                                                     ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I559    ,LU F316 ECF - On Demand                                                                   ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I560    ,LU F316 Importador XML - On Demand                                                        ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I561    ,LU F316 Pav One                                                                           ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I562    ,LU F316 AF One                                                                            ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I563    ,LU RH F0365 Folha + Beneficios - On Premise                                               ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I564    ,LU RH F0365 Ponto Eletronico - On Premise                                                 ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I565    ,LU RH F0365 Medicina e Seguranca do Trabalho - On Premise                                 ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I566    ,LU RH F0365 Folha + Beneficios - On Demand                                                ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
I567    ,LU RH F0365 Ponto Eletronico - On Demand                                                  ,,Itens ,itItems,Sim         ,Sim       ,Não        ,- Nenhum fabricante -,,Não,Não,Não,Material,Produto Acabado,,"Nacional, exceto as indicadas nos códigos 3 a 5",,1,,1,,,,,,,,,,,,,
